WeekAnchorDate,DayOfWeek,MealName,IngredientName,Quantity,CarbsPer100g,FatPer100g,ProteinPer100g
2025-08-31,Sunday,Veggie Omelet,Egg,100.000000,1.100000,9.500000,13.000000
2025-08-31,Sunday,Veggie Omelet,Cheddar Cheese,30.000000,1.300000,33.000000,25.000000
2025-08-31,Sunday,Veggie Omelet,Bell Pepper,50.000000,6.000000,0.300000,1.000000
2025-08-31,Sunday,Veggie Omelet,Spinach,30.000000,3.600000,0.400000,2.900000
2025-08-31,Sunday,Veggie Omelet,Olive Oil,10.000000,0.000000,100.000000,0.000000
2025-08-31,Sunday,Veggie Omelet,Herb Mix,3.000000
2025-08-31,Sunday,Oatmeal Bowl,Rolled Oats,60.000000,66.000000,7.000000,17.000000
2025-08-31,Sunday,Oatmeal Bowl,Banana,100.000000,23.000000,0.300000,1.100000
2025-08-31,Sunday,Oatmeal Bowl,Peanut Butter,20.000000,20.000000,50.000000,25.000000
2025-08-31,Sunday,Oatmeal Bowl,Cinnamon (pinch),2.000000
2025-08-31,Sunday,Beef Tacos,Tortilla (corn),100.000000,45.000000,3.500000,6.000000
2025-08-31,Sunday,Beef Tacos,Ground Beef (lean),120.000000,0.000000,20.000000,27.000000
2025-08-31,Sunday,Beef Tacos,Onion,40.000000,9.300000,0.100000,1.100000
2025-08-31,Sunday,Beef Tacos,Cheddar Cheese,25.000000,1.300000,33.000000,25.000000
2025-08-31,Sunday,Beef Tacos,Salsa,30.000000,4.000000,0.000000,1.000000
2025-08-31,Sunday,Beef Tacos,Lime,10.000000
2025-08-31,Monday,Chicken Stir-Fry,Chicken Breast,150.000000,0.000000,3.600000,31.000000
2025-08-31,Monday,Chicken Stir-Fry,Rice (cooked),180.000000,28.000000,0.300000,2.700000
2025-08-31,Monday,Chicken Stir-Fry,Broccoli,90.000000,7.000000,0.400000,2.800000
2025-08-31,Monday,Chicken Stir-Fry,Carrot,60.000000,10.000000,0.200000,0.900000
2025-08-31,Monday,Chicken Stir-Fry,Soy Sauce,15.000000,5.600000,0.100000,8.000000
2025-08-31,Monday,Chicken Stir-Fry,Garlic,5.000000
2025-08-31,Tuesday,Veggie Omelet,Egg,100.000000,1.100000,9.500000,13.000000
2025-08-31,Tuesday,Veggie Omelet,Cheddar Cheese,30.000000,1.300000,33.000000,25.000000
2025-08-31,Tuesday,Veggie Omelet,Bell Pepper,50.000000,6.000000,0.300000,1.000000
2025-08-31,Tuesday,Veggie Omelet,Spinach,30.000000,3.600000,0.400000,2.900000
2025-08-31,Tuesday,Veggie Omelet,Olive Oil,10.000000,0.000000,100.000000,0.000000
2025-08-31,Tuesday,Veggie Omelet,Herb Mix,3.000000
2025-08-31,Wednesday,Margherita Pizza,Pizza Dough,200.000000,50.000000,1.500000,9.000000
2025-08-31,Wednesday,Margherita Pizza,Tomato Sauce,80.000000,6.000000,0.200000,1.500000
2025-08-31,Wednesday,Margherita Pizza,Mozzarella,120.000000,2.200000,17.000000,22.000000
